nombre,descripcion,imagen,url_detalle,sku,categoria,marca,beneficios,descripcion_larga,faqs,tiendas
Pluma Blanqueadora Colgate Luminous White,"Remueve 15 años de manchas en los dientes en solo 1 semana* con la Pluma Blanqueadora Luminous White Colgate, que actúa como un blanqueador dental rápido y eficaz mientras duermes. *Después de una semana de uso diario. Manchas causadas por algunos alimentos y bebidas como vino tinto, café, té y frutos rojos. Consulte las advertencias del producto.",https://pxmshare.colgatepalmolive.com/JPEG_1500/MkrDrM_5edmVeI0_nfxeU.jpg,https://www.colgate.com/es-co/products/specialty/colgate-luminous-white-wand?product_overview,7509546696522,Hilos dentales,Colgate Luminous White,"['Blanqueamiento dental', 'Proteger esmalte']","Consigue dientes visiblemente más blancos* con la Pluma Blanqueadora Colgate Luminous White. Su fórmula remueve 15 años de manchas en los dientes en solo 1 semana*, actuando como un blanqueador dental superior mientras duermes. Su fórmula con peróxido de hidrógeno, un ingrediente blanqueador usado por dentistas, actúa durante la noche para un blanqueamiento dental rápido y eficaz. La Pluma Blanqueadora Colgate Luminous White tiene un  aplicador de precisión con dosificación automática, para blanquear dientes, no deja grumos y es fácil de usar. Además de actuar como un blanqueador de dientes, la Pluma Blanqueadora Colgate Luminous White, protege el esmalte dental y no causa sensibilidad. *Después de una semana de uso diario. Manchas causadas por algunos alimentos y bebidas como vino tinto, café, té y frutos rojos. Consulte las advertencias del producto.","[{'pregunta': '¿Por qué debería usar la Pluma Blanqueadora Colgate Luminous White para blanquear mis dientes?', 'respuesta': 'Nuestros dientes se manchan por una variedad de circunstancias y, con el tiempo, las manchas harán que se vean más opacos o de color amarillento. Las cremas dentales blanqueadoras regulares normalmente solo eliminan las manchas superficiales, pero la Pluma Blanqueadora Luminous White es un dispositivo especial con una fórmula de suero blanqueador segura para el esmalte que blanquea los dientes por dentro y por fuera, y puede eliminar 15 años de manchas en tan solo 1 semana, si se usa como se indica. Actúa mientras duermes para revelar una sonrisa más blanca y brillante'}, {'pregunta': '¿Qué es el Peróxido de Hidrógeno?', 'respuesta': 'Es un agente blanqueador que remueve suavemente las manchas comunes del esmalte y puede hacer una gran diferencia en la blancura de tu sonrisa. El peróxido de hidrógeno funciona al eliminar manchas difíciles, tanto las extrínsecas como las intrínsecas, a diferencia de otras pastas de dientes comunes que solo quitan las manchas superficiales en la capa externa de los dientes. El peróxido de hidrógeno es muy bueno para blanquear los dientes y, además, es seguro para el esmalte.'}, {'pregunta': '¿Es seguro usar Peróxido de hidrógeno en mis dientes y boca?', 'respuesta': 'Sí, el peróxido de hidrógeno es seguro y efectivo. Sigue siempre las instrucciones de uso y lee la etiqueta para estar al tanto de cualquier riesgo. Llama a tu dentista si experimentas algún efecto secundario.'}, {'pregunta': '¿La Pluma Blanqueadora Colgate Luminous White causa sensibilidad?', 'respuesta': 'Colgate Luminous White Wand está diseñado para no causar sensibilidad dental. Sin embargo, algunas personas pueden experimentar sensibilidad en los dientes o molestias en las encías al usar productos blanqueadores. Esta molestia es temporal y no es dañina. Si experimentas una sensibilidad dental mayor a la leve, suspende su uso y consulta a tu dentista.'}, {'pregunta': '¿Con qué frecuencia puedo usar mi Pluma Blanqueadora?', 'respuesta': 'El producto es seguro para usarlo todas las noches (una vez al día). El ciclo recomendado es de una semana, pero puedes usarlo hasta que se termine. No excedas las 7 semanas de uso continuo.'}]",[]
Seda Dental Colgate Total Encerado 25 metros,"Complementa tu rutina de higiene personal con el Hilo Dental Encerado Colgate Total, presentación Cinta Dental.",https://pxmshare.colgatepalmolive.com/JPEG_1500/buR3r2Zx_8xjoAgOI4kGk.jpg,https://www.colgate.com/es-co/products/specialty/hilo-dental-colgate?product_overview,7891024183182,Hilos dentales,Colgate Total,"['Prevenir caries', 'Prevenir sarro', 'Combatir placa']","Mejora tu rutina diaria de higiene bucal con el Hilo Dental Encerado Colgate Total. Esta innovadora cinta dental está diseñada específicamente para llegar a esos espacios reducidos que los cepillos de dientes convencionales suelen pasar por alto, garantizando una limpieza interdental completa. Incorporar el hilo dental a tu rutina es un primer paso crucial para mantener una salud bucal completa, ya que elimina eficazmente restos de comida, gérmenes y bacterias. Elaborado con una fibra especial de PTFE de un solo filamento, el hilo dental Colgate se desliza suavemente entre los dientes para una limpieza sin esfuerzo y está diseñado para no romperse. Para obtener resultados óptimos, complementa su uso con un cepillo de dientes, crema de dientes y enjuague bucal adaptados a tus necesidades.","[{'pregunta': 'Ingredientes activos', 'respuesta': 'No aplica'}, {'pregunta': 'Ingredientes inactivos', 'respuesta': 'PTFE, cera microcristalina.'}]","[{'tienda': 'FarmatodoCO', 'disponibilidad': 'Agotado', 'precio': 'N/A'}, {'tienda': 'LaRebajaVirtualCO', 'disponibilidad': 'Disponible', 'precio': '14.600,00'}]"
Seda Dental Colgate Carbon 25 metros,"El hilo dental Colgate Natural Extracts Carbón ayuda a prevenir enfermedades de las encías, elimina bacterias y está enriquecido con aceites esenciales.",https://pxmshare.colgatepalmolive.com/JPEG_1500/iWlGGof44kEDhszGr0o8D.jpg,https://www.colgate.com/es-co/products/specialty/hilo-dental-colgate-natural-extracts?product_overview,7509546671536,Hilos dentales,Colgate Natural Extracts,"['Prevenir caries', 'Prevenir sarro', 'Combatir placa']","Mejora tu higiene bucal con el Hilo Dental Colgate Natural Extracts con Carbón. Este innovador hilo dental está enriquecido con aceites esenciales para una limpieza interdental eficaz, ayudando a prevenir problemas de encías al eliminar completamente las bacterias alojadas entre los dientes. Elaborado con tecnología de cera negra, este hilo ofrece una comodidad superior durante su uso, asegurando la correcta eliminación de los restos de comida entre los dientes y debajo de la línea de las encías, zonas a las que el cepillo de dientes no llega. Al prevenir la formación de placa, el Hilo Dental Colgate Natural Extracts con Carbón contribuye a una mejor higiene bucal, según lo recomendado por los dentistas. Para obtener resultados óptimos, recuerda usar hilo dental antes del cepillado, preferiblemente con un cepillo de dientes Colgate.","[{'pregunta': 'Cómo usar el hilo dental?', 'respuesta': 'Usar el hilo dental antes de cepillarse los dientes: (1) Cortar aproximadamente 50 cm de Hilo Dental Colgate® y enrollar en sus dedos del medio (2) Pasar el hilo por la parte superior del diente deslizándolo suavemente hacia abajo (3) Limpiar los dos lados del diente y bajo la línea de la encía usando una nueva parte del hilo en cada diente.'}]","[{'tienda': 'ExitoCO', 'disponibilidad': 'Disponible', 'precio': '9.900.00'}, {'tienda': 'JumboCO', 'disponibilidad': 'Disponible', 'precio': '10.080,00'}, {'tienda': 'OlimpicaCO', 'disponibilidad': 'Disponible', 'precio': '11.990,00'}, {'tienda': 'FarmatodoCO', 'disponibilidad': 'Disponible', 'precio': '13.950,00'}, {'tienda': 'LaRebajaVirtualCO', 'disponibilidad': 'Agotado', 'precio': 'N/A'}]"
Crema Dental Sensibilidad Colgate Sensitive Pro-Alivio Original Inmediato 110g,Crema dental con alivio instantáneo original y barrera duradera contra la sensibilidad dental** para una boca sana. **Con uso regular.,https://pxmshare.colgatepalmolive.com/JPEG_1500/Y2vIjIgznNdn9LDEZgwO0.jpg,https://www.colgate.com/es-co/products/toothpaste/colgate-sensitive-pro-alivio-original?product_overview,7891024132647,Cremas dentales,Colgate Sensitive Pro-Relief,"['Reducir Sensibilidad', 'Prevenir caries', 'Combatir placa']","Redescubre la alegría de una sonrisa segura con la crema dental Colgate Sensitive Pro-Relief Sensitivity, ahora disponible en un práctico formato de 110 ml. Diseñada específicamente para personas con dientes sensibles, esta innovadora crema dental te permite disfrutar de cada comida, sin importar la temperatura. Su avanzada tecnología pro-argin, con arginina, recubre activamente los túbulos dentinarios que conducen al centro del diente, proporcionando un alivio instantáneo de la sensibilidad dental. Disfruta de una limpieza profunda dondequiera que estés: en casa, la escuela o el trabajo, simplemente incorporando esta crema dental a tu rutina de higiene bucal tres veces al día. Da el primer paso hacia una salud bucal completa y cómprala ahora.",[],"[{'tienda': 'FarmatodoCO', 'disponibilidad': 'Disponible', 'precio': '31.150,00'}, {'tienda': 'LaRebajaVirtualCO', 'disponibilidad': 'Disponible', 'precio': '34.200,00'}, {'tienda': 'ExitoCO', 'disponibilidad': 'Disponible', 'precio': '34.450.00'}, {'tienda': 'OlimpicaCO', 'disponibilidad': 'Disponible', 'precio': '35.500,00'}]"
Crema Dental Niños Colgate Agnes & Fluffy 60g,"Crema de dientes Agnes and Fluffy combate las caries con flúor, un suave sabor a sandía y actividades interactivas para un cepillado divertido.",https://pxmshare.colgatepalmolive.com/JPEG_1500/tdLXRBHLNNF0-CIEJtBXf.jpg,https://www.colgate.com/es-co/products/toothpaste/colgate-agnes-and-fluffy?product_overview,7509546660561,Cremas dentales,Colgate Kids,"['Salud dental infantil', 'Prevenir caries', 'Combatir placa']","Presentamos la nueva crema dental Agnes and Fluffy de Colgate, especialmente desarrollada para niños y que ayuda a combatir las caries con flúor. Su suave sabor a sandía hace que el cepillado sea una experiencia agradable para los niños, dejando un sabor agradable y fomentando un hábito de buena higiene bucal para toda la vida. Su atractivo empaque incluye actividades interactivas y personajes que convierten el cepillado en una experiencia divertida. Regale a su hijo una salud bucal completa hoy mismo.",[],"[{'tienda': 'JumboCO', 'disponibilidad': 'Disponible', 'precio': '6.160,00'}, {'tienda': 'OlimpicaCO', 'disponibilidad': 'Disponible', 'precio': '8.090,00'}, {'tienda': 'FarmatodoCO', 'disponibilidad': 'Disponible', 'precio': '8.100,00'}, {'tienda': 'ExitoCO', 'disponibilidad': 'Disponible', 'precio': '8.900.00'}, {'tienda': 'LaRebajaVirtualCO', 'disponibilidad': 'Disponible', 'precio': '9.100,00'}]"
Crema Dental Niños Colgate Tandy Fresantástico 50 g,"Crema dental Colgate Kids Tandy con máxima protección contra las caries, flúor activo, esmalte fortalecido y un delicioso sabor.",https://pxmshare.colgatepalmolive.com/JPEG_1500/UcRyyY9T-fnWaw5XpRaZW.jpg,https://www.colgate.com/es-co/products/toothpaste/colgate-kids-fresantastica?product_overview,7891024034095,,,[],,[],[]
Crema Dental Colgate Max Fresh Cool Mint 75mL,"Frescura intensa y duradera, gracias a miles de cristales refrescantes que eliminan bacterias y sarro causantes del mal aliento.",https://pxmshare.colgatepalmolive.com/JPEG_1500/j-Y2w2ghCMXa4vJRTcEBF.jpg,https://www.colgate.com/es-co/products/toothpaste/colgate-fresh-mint?product_overview,7509546013558,Cremas dentales,Colgate Max Fresh,"['Prevenir caries', 'Aliento fresco', 'Combatir placa', 'Prevenir sarro']","Acércate a esa persona especial con la confianza de la crema dental Colgate Max Fresh. Sorpréndela con un aliento fresco y delicado que adorará, brindándote la seguridad que siempre has deseado. Nuestra crema dental contiene miles de cristales refrescantes que brindan una frescura intensa y duradera, eliminando las bacterias que causan mal olor y el sarro de tus dientes, lengua, mejillas y paladar. También te encantará su delicioso sabor a Menta Fresca. Con los tres cepillados diarios recomendados, puedes ayudar a prevenir afecciones como gingivitis, sarro y abscesos, asegurando una salud bucal óptima. Recuerda visitar a tu dentista al menos dos veces al año para una limpieza profesional.","[{'pregunta': 'Ingredientes activos', 'respuesta': 'ES/'}, {'pregunta': 'Ingredientes inactivos', 'respuesta': 'Sorbitol, Aqua, Hydrated Silica, Sodium Lauryl Sulfate, Aroma, PEG-12, Cellulose Gum, Cocamidopropyl Betaine, Sodium Fluoride, Sodium Saccharin, Hydroxypropyl Methylcellulose, CI 74160, CI 47005. Contiene Fluoruro de Sodio (1450 ppm de Flúor)/Contains Sodium Fluoride (1450 ppm of Fluoride).'}]",[]
Crema Dental Blanqueadora Colgate Luminous White Cafe 70gr,"Crema dental blanqueadora con una fórmula que protege el esmalte dental y elimina las manchas difíciles causadas por el café, el vino, el té y la cola.",https://pxmshare.colgatepalmolive.com/JPEG_1500/faFuWzQQVtBsHwJII2SAK.jpg,https://www.colgate.com/es-co/products/toothpaste/colgate-luminous-white-lovers-cafe?product_overview,7509546667577,Cremas dentales,Colgate Luminous White,"['Blanqueamiento dental', 'Blanqueamiento dental', 'Manchas dentales']","Consigue una sonrisa más brillante sin renunciar a tus placeres favoritos. La crema dental blanqueadora Colgate Luminous White Café está diseñada específicamente para combatir las manchas difíciles, incluyendo las del café, a la vez que mantiene tu higiene bucal diaria. Su fórmula avanzada no solo protege el esmalte dental y previene la placa, sino que también elimina eficazmente las manchas de café, revelando unos dientes naturalmente más blancos. Recupera el brillo de tus dientes y disfruta de una salud bucal completa con la crema dental blanqueadora Colgate Luminous White Café. Dile adiós a las manchas y dale la bienvenida a una sonrisa radiante y segura.",[],[]
Crema Dental Colgate Triple Accion Extra Frescura 125mL,"Crema dental con sensación refrescante, protección avanzada para los dientes y frescura diaria.",https://pxmshare.colgatepalmolive.com/JPEG_1500/BDXpKI3JpuufbFzzCl8CN.jpg,https://www.colgate.com/es-co/products/toothpaste/colgate-triple-accion-extra-frescura?product_overview,7509546074016,Cremas dentales,Colgate Triple Acción,"['Prevenir caries', 'Aliento fresco', 'Combatir placa', 'Prevenir sarro']","Experimenta una sensación refrescante con la Crema Dental Triple Acción Extra Fresca de 125 ml. Esta crema dental proporciona una limpieza profunda con una protección única, mejorando tu bienestar general. Disfruta de una frescura duradera que aumenta tu confianza y mejora tu calidad de vida. Transforma cada cepillado en un momento de renovación y cuidado para tu sonrisa.",[],[]
Crema Dental sensibilidad Colgate Sensitive Pro-Alivio Inmediato Encías 110g,La Crema dental Colgate Sensitive Pro Instant Gum Relief con doble acción protege las encías y alivia la sensibilidad dental para una higiene bucal completa.,https://pxmshare.colgatepalmolive.com/JPEG_1500/ypL4BfN3Rl6qLTbyZ5Jfz.jpg,https://www.colgate.com/es-co/products/toothpaste/colgate-sensitive-pro-alivio-inmediato-encias?product_overview,7509546690384,Cremas dentales,Colgate Sensitive Pro-Relief,"['Reducir Sensibilidad', 'Prevenir caries', 'Combatir placa', 'Condiciones de encías', 'Blanqueamiento dental']","Esta crema dental proporciona alivio inmediato de la sensibilidad dental y crea una barrera protectora para las encías con el uso regular. Con tecnología de arginina y doble zinc, ayuda eficazmente a prevenir el sangrado de encías eliminando la placa con el cepillado diario y la retracción de encías con el uso continuo. Experimenta un alivio de la sensibilidad dos veces más rápido en comparación con las cremas dentales con nitrato de potasio y mantiene encías sanas para una salud bucal integral. Para un alivio inmediato de la sensibilidad, aplica directamente y masajea durante un minuto en cada diente sensible.","[{'pregunta': 'Ingredientes activos', 'respuesta': 'Arginine/ Arginina 8%, Sodium Monofluorophosphate/ Monofluorofosfato de Sodio 1,1% (1450 PPM de Flúor), Zinc Oxide/ Oxido de Cinc 1%, Zinc Citrate/ Citrato de Cinc 0,5%.'}, {'pregunta': 'Ingredientes inactivos', 'respuesta': 'Calcium Carbonate/ Carbonato de Calcio, Aqua/ Agua, Sorbitol, Arginine Bicarbonate/ Bicarbonato de Arginina, Poloxamer 407/ Poloxámero 407, Aroma/ Sabor, Sodium Monofluorophosphate/ Monofluorofostato de Sodio, Cocamidopropyl Betaine/ Cocamidopropyl Betaína, Zinc Oxide/ Oxido de Cinc, Benzyl Alcohol/ Alcohol Bencílico, Cellulose Gum/ Goma de Celulosa, Sodium Bicarbonate/ Bicarbonato de Sodio, Tetrasodium Pyrophosphate/ Pirofosfato Tetrasodio, Zinc Citrate/ Citrato de Cinc, Xanthan Gum/ Goma Xantán, Sodium Saccharin/ Sacarina Sódica, Sucralose/ Sucralosa, Cl 77891/ Dióxido de Titanio (Cl 77891), Limonene/Dipenteno. Contém Monofluorfosfato de Sódio/ Contiene Monofluorofosfato de Sodio (1450ppm de Flúor).'}]","[{'tienda': 'LaRebajaVirtualCO', 'disponibilidad': 'Disponible', 'precio': '33.600,00'}]"
