nombre,descripcion,imagen,url_detalle,tags,titulo,descripcion_larga,beneficios,ingredientes,fragancia,modo_uso,sku,tiendas
Palmolive® Décor Series Flor de Manzana y Gardenia Jabón líquido para manos,,/content/dam/cp-sites/personal-care/palmolive-latam/redesign-2020/andina/pdp/manzana-y-gardenia/palmolive-manzana-y-gardenia-doypack-and.jpg,https://www.palmolive.co/productos/jabones-liquidos-para-manos/manzana-y-gardenia,"['Flor de Manzana y Gardenia', 'Palmolive Naturals', 'Renovación', 'Jabón líquido para manos', 'Suavidad', 'Humectación']",Palmolive® Décor Series Flor de Manzana y Gardenia Jabón líquido para manos 221mL - 800mL,"Proporciona una sensación de frescura y limpieza en la piel de tus manos desde la primera aplicación. Realiza una limpieza profunda en tus manos y déjalas libres de suciedad o bacterias con la ayuda del jabón líquido con flor de manzana y gardenia, que la línea decor series de Palmolive ® tiene para ti • Limpia y humecta • Con su espuma limpiadora que quita todo rastro de suciedad, partícula ajena a tu piel • Evita malos olores Elaborado responsablemente* Beneficios -Brinda a tu piel una apariencia luminosa y radiante. -Te hará sentir una piel renovada mientras su deliciosa fragancia te envuelve. -Disfruta en tu piel cada día una experiencia renovadora con extractos de flor de coco y verbena de origen 100% natural. -Aromas naturales que te encantarán.","['-Brinda a tu piel una apariencia luminosa y radiante.', '-Te hará sentir una piel renovada mientras su deliciosa fragancia te envuelve.', '-Disfruta en tu piel cada día una experiencia renovadora con extractos de flor de coco y verbena de origen 100% natural.', '-Aromas naturales que te encantarán.']",Limpia y humecta tus manos con el jabón líquido Palmolive® Décor Series con fragancia inspirada en Flor de Manzana y Gardenia.,Descubre la poderosa frescura que te ofrece la línea Palmolive® Décor Series. Consiente a tu piel con una deliciosa fragancia inspirada en Flor de Manzana y Gardenia.,"Aplica en las manos húmedas. Frota en la palma, dorso y entre los dedos. Enjuaga. Repite si es necesario.",7509546657110,"[{'tienda': 'FarmatodoCO', 'disponibilidad': 'Agotado', 'precio': 'N/A'}, {'tienda': 'ExitoCO', 'disponibilidad': 'Disponible', 'precio': '14.062.00'}, {'tienda': 'JumboCO', 'disponibilidad': 'Disponible', 'precio': '13.867,00'}]"
Palmolive Naturals Mandarina y Romero Jabón en barra Sensación Humectante,,/content/dam/cp-sites/personal-care/palmolive-latam/redesign-2020/pdp/mandarina-romero/palmolive-naturals-mandarina-romero-thumb.jpg,https://www.palmolive.co/productos/jabones-en-barra/mandarina-romero,"['Palmolive Naturals', 'Jabón en barra']",Palmolive Naturals Mandarina y Romero Jabón en barra,"Consiente tu piel con la fresca fragancia de la mandarina que te proporciona el jabón corporal Palmolive Naturals Mandarina y Romero. Una nueva experiencia que deleita tus sentidos en tu baño diario. Este jabón de tocador tiene una fórmula enriquecida con ingredientes 100% de origen natural y una deliciosa fragancia con extractos de mandarina y romero que revitaliza tu piel. Despierta tu piel todos los días con el jabón en barra Palmolive Naturals Mandarina y Romero y disfruta su humectación irresistible. Beneficios - Con humectante natural - Ingredientes de origen natural - Inspirado en la naturaleza - Fragancia con ingredientes naturales - Fabricado responsablemente* *Si quieres saber cómo, visita la siguiente página: https://www.colgatepalmolive.com/responsibly-made",['-\xa0Con humectante natural'],El jabón en barra Palmolive Naturals Mandarina y Romero tiene una  fórmula humectante infusionada con ingredientes 100% de origen natural que ayuda a mantener la humectación natural de tu piel.,Deléitate con la fresca fragancia de la mandarina que te proporciona este jabón de mandarina. Disfruta una experiencia de baño revitalizante gracias al delicioso aroma de Palmolive Naturals Mandarina y Romero que consiente tu piel haciéndola sentir mucho más fresca.,"Durante tu baño diario, masajea suavemente tu piel con el jabón Palmolive Naturals Mandarina y Romero inspirado en la naturaleza. Enjuaga muy bien y repite, si así lo deseas.",,[]
Jabón Palmolive Naturaleza Secreta Pitahaya,,/content/dam/cp-sites/personal-care/palmolive-latam/redesign-2020/andina/pdp/naturaleza-secreta-pitaya/productshot-pitaya-front-2024.jpg,https://www.palmolive.co/productos/jabones-liquidos-corporales/naturaleza-secreta-pitaya,"['Jabón líquido corporal', 'Pitaya', 'Humectación', 'Suavidad']",Jabón Palmolive Naturaleza Secreta Pitahaya,"Experimenta una fascinante sensación cremosa con el Jabón líquido corporal Palmolive® Natureza Secreta Pitahaya. Inspirado en tentadores ingredientes con origen natural.. Una exclusiva fragancia inspirada por la exótica Pitahaya, que consentirá tu piel todos los días. Experimenta los secretos mejor guardados de la naturaleza. Fabricado responsablemente* *Para saber más, visita: https://www.colgatepalmolive.com/responsibly-made . Beneficios -Jabón líquido corporal con humectante. -Fragancia biodegradable**. **>74% biodegradable.","['-Jabón líquido corporal con humectante.-Fragancia biodegradable**.', '**>74% biodegradable.', 'Pitaya']",Disfruta de jabón líquido corporal Palmolive® Natureza Secreta Pitahaya con ingredientes de origen natural. Una deliciosa sensación cremosa y exclusiva fragancia que consentirá tu piel todos los días.,Siente la naturaleza en tu piel con su exclusiva fragancia con Palmolive® Natureza Secreta Pitahaya.,"Aplica jabón líquido en manos o esponja, enjabona cuerpo y rostro, disfrutando de la espuma cremosa y una deliciosa fragancia. Enjuaga enseguida y si deseas, repite el proceso..",7509546079080,"[{'tienda': 'FarmatodoCO', 'disponibilidad': 'Agotado', 'precio': 'N/A'}, {'tienda': 'ExitoCO', 'disponibilidad': 'Disponible', 'precio': '12.540.00'}, {'tienda': 'OlimpicaCO', 'disponibilidad': 'Disponible', 'precio': '16.447,00'}, {'tienda': 'JumboCO', 'disponibilidad': 'Disponible', 'precio': '15.817,00'}, {'tienda': 'LaRebajaVirtualCO', 'disponibilidad': 'Disponible', 'precio': '15.260,00'}]"
Palmolive® Naturals Renovación Nutritiva Cereza y Coco,,/content/dam/cp-sites/personal-care/palmolive-latam/redesign-2020/pdp/cereza-y-coco/thumb-jabon-linquido-coco.jpg,https://www.palmolive.co/productos/jabones-liquidos-corporales/cereza-y-coco,"['Palmolive Naturals', 'Jabón líquido corporal', 'Cereza y Coco']",Palmolive ® Naturals Renovación Nutritiva Cereza y Coco Jabón líquido corporal 390mL,"Siente la naturaleza en tu piel con la exquisita fragancia de Palmolive ® Naturals Renovación Nutritiva y reconecta naturalmente con tus sentidos gracias al dulce aroma de la cereza y el coco. Su fórmula fabricada responsablemente* dejará tu piel con una deliciosa sensación de suavidad y nutrición todos los días, mientras su placentera fragancia deleita tus sentidos. *Para saber más visita https://www.colgatepalmolive.com/responsibly-made . Beneficios -Deja tu piel con una deliciosa sensación de suavidad y nutrición todos los días. -Ayuda a retener la humectación natural de la piel, dejándola sedosa y suave. -Descubre el secreto de una humectación irresistible.","['-Deja tu piel con una deliciosa sensación de suavidad y nutrición todos los días.-Ayuda a retener la humectación natural de la piel, dejándola sedosa y suave.-Descubre el secreto de una humectación irresistible.', 'Cereza', 'Coco']",Experimienta una deliciosa sensación de suavidad en tu piel con Palmolive®Naturals Renovación Nutritiva y renueva tus sentidos con su sofisticada fragancia inspirada en la cereza y el coco.,"Reconecta naturalmente con tus sentidos con el dulce aroma de la cereza y coco. La fórmula de Palmolive®Naturals Renovación Nutritiva dejará tu piel con una deliciosa sensación de suavidad y nutrición todos los días, mientras su placentera fragancia deleita tus sentidos.","Aplica jabón líquido en manos o esponja, enjabona cuerpo y rostro, disfrutando de la espuma cremosa y una deliciosa fragancia. Enjuaga enseguida y si deseas, repite el proceso.",MX05983A,"[{'tienda': 'JumboCO', 'disponibilidad': 'Disponible', 'precio': '16.417,00'}, {'tienda': 'ExitoCO', 'disponibilidad': 'Disponible', 'precio': '12.540.00'}, {'tienda': 'FarmatodoCO', 'disponibilidad': 'Disponible', 'precio': '16.440,00'}, {'tienda': 'LaRebajaVirtualCO', 'disponibilidad': 'Disponible', 'precio': '19.600,00'}, {'tienda': 'OlimpicaCO', 'disponibilidad': 'Agotado', 'precio': 'N/A'}]"
"Palmolive® Smoothie Berries, Banana y Yogurt",,/content/dam/cp-sites/personal-care/palmolive-latam/redesign-2020/pdp/smoothie-berries-banana-y-yogurt/palmolive-smoothie-blackberry-banana-personal-care-390ml.jpg,https://www.palmolive.co/productos/jabones-liquidos-corporales/smoothie-berries-banana-y-yogurt,"['Palmolive Naturals', 'Jabón líquido corporal', 'Cereza y Coco']","Palmolive ® Smoothie Berries, Banana y Yogurt 390mL","El jabón líquido corporal Palmolive® Smoothie Berries, Plátano y Yoghurt es ideal para el cuidado de la piel gracias a su nueva fórmula cremosa que ayuda a mantener la humectación natural de la piel. Deleita y nutre tus sentidos con su deliciosa fragancia infusionada con ingredientes de origen natural. Este jabón corporal es tu mejor aliado para la limpieza de la piel y la dejará tersa. Disfruta de una experiencia de baño placentera y nutritiva para tu cuerpo y tu mente con el jabón Palmolive Berries, Plátano y Yoghurt cremoso, que dejará tu piel suave y limpia. Nutre tu piel, nutre tu vida Beneficios -Jabón líquido corporal nutritivo para el cuidado y limpieza de la piel. -Nueva fórmula cremosa que dejará tu piel humectada con una deliciosa fragancia a Berries, Plátano y Yoghurt que cambiará por completo tu rutina de limpieza corporal. -Siente la nutrición de los extractos de ingredientes naturales en tu piel con este jabón corporal de Palmolive. -Disfruta de una experiencia SMOOTHie de baño placentera que mantendrá tu piel suave por más tiempo con el jabón de cuerpo líquido . -Palmolive jabón líquido corporal cuida tu piel.",[],,,,7509546689593,"[{'tienda': 'ExitoCO', 'disponibilidad': 'Disponible', 'precio': '14.910.00'}, {'tienda': 'JumboCO', 'disponibilidad': 'Disponible', 'precio': '19.342,00'}, {'tienda': 'OlimpicaCO', 'disponibilidad': 'Disponible', 'precio': '16.633,00'}, {'tienda': 'FarmatodoCO', 'disponibilidad': 'Disponible', 'precio': '19.125,00'}]"
"Palmolive® Smoothie Almendra, Aguacate y Leche",,/content/dam/cp-sites/personal-care/palmolive-latam/redesign-2020/pdp/smoothie-almendra-aguacate-y-leche/smoothies-jabon-liquido-corporal-personal-care.jpg,https://www.palmolive.co/productos/jabones-liquidos-corporales/smoothie-almendra-aguacate-y-leche,"['Palmolive Naturals', 'Jabón líquido corporal', 'Cereza y Coco']","Palmolive ® Smoothie Almendra, Aguacate y Leche 390mL","Consiente tu piel y nutre tus sentidos con el jabón líquido corporal Palmolive SMOOTHie Almendra, Aguacate y Leche que exfolia suavemente para una piel radiante y nutrida*. Su nueva fórmula es ultra cremosa y nutritiva infusionada con ingredientes de origen natural que funciona como alimento para la piel y ayuda a mantener su humectación natural para una piel suave y tersa. Exfolia suavemente para sentir tu piel renovada con el jabón exfoliante nutritivo Palmolive SMOOTHie que consiente tu cuerpo y mente durante la hora del baño brindándote un cuidado de la piel único. Nutre tu piel, nutre tu vida Beneficios -Jabón líquido corporal Palmolive SMOOTHie exfolia suavemente para una piel radiante y nutrida*. -Este jabón exfoliante ayuda a mantener la humectación natural de la piel. -Su fórmula nutritiva infusionada con ingredientes de origen natural te ayudará a sentir tu piel renovada. -Palmolive SMOOTHie Almendra, Aguacate y Leche funciona como alimento para la piel. -Palmolive jabón líquido corporal con textura ultra cremosa que nutre después de cada ducha.",[],"Consiente tu piel y nutre tus sentidos con la nueva y deliciosa textura del jabón líquido corporal Palmolive  Smoothie Almond, Avocado & Milk. Tan irresistible que vas a querer bañarte en él.","Reconecta naturalmente con tus sentidos con las fragancias infusionadas con ingredientes de origen natura. La fórmula de Palmolive®Smoothie Almendra, Aguacante y Leche dejará tu piel con una deliciosa sensación de suavidad y nutrición todos los días, mientras su placentera fragancia deleita tus sentidos.","Aplica jabón líquido en manos o esponja, enjabona cuerpo y rostro, disfrutando de la espuma cremosa y una deliciosa fragancia. Enjuaga enseguida y si deseas, repite el proceso.",7509546689586,"[{'tienda': 'FarmatodoCO', 'disponibilidad': 'Agotado', 'precio': 'N/A'}, {'tienda': 'ExitoCO', 'disponibilidad': 'Disponible', 'precio': '12.270.00'}, {'tienda': 'OlimpicaCO', 'disponibilidad': 'Disponible', 'precio': '17.990,00'}]"
Palmolive Luminous Oils Macadamia y Peonía,,/content/dam/cp-sites/personal-care/palmolive-latam/redesign-2020/pdp/macadamia-y-peonia/nuevo-jabon-macadamia-y-peonia-frontal.png,https://www.palmolive.co/productos/jabones-liquidos-corporales/macadamia-y-peonia,"['Jabón líquido corporal', 'Macadamia y Peonía', 'Palmolive Luminous Oils']",Palmolive Luminous Oils Macadamia y Peonía Jabón líquido corporal Sensación Revitalizante 390mL - 760mL,"Dale a tu piel un toque de lujo con el jabón líquido para cuerpo Palmolive Luminous Oils Macadamia y Peonía , el cual ayuda a limpiar tu cuerpo y deja una sensación lujosa en tu piel. Experimenta un baño excepcional gracias a su lujosa mezcla de aceites con peonía y macadamia que forman una textura y espuma irresistible dejando la piel radiante y luminosa. Consiente tu piel todos los días con el jabón líquido corporal Palmolive Luminous Oils Macadamia y Peonía.",[],El jabón líquido para cuerpoPalmolive Luminous Oils Macadamia y Peoníatiene una lujosa mezcla de aceites que combina la delicada y fresca peonía con la suave y cremosa macadamia.,Experimenta la deliciosa fragancia dePalmolive Luminous Oilsy disfruta de su aroma mezclado con delicada peonía y la suave macadamia.,,7509546664231,"[{'tienda': 'ExitoCO', 'disponibilidad': 'Disponible', 'precio': '13.920.00'}, {'tienda': 'LaRebajaVirtualCO', 'disponibilidad': 'Agotado', 'precio': 'N/A'}, {'tienda': 'FarmatodoCO', 'disponibilidad': 'Agotado', 'precio': 'N/A'}, {'tienda': 'OlimpicaCO', 'disponibilidad': 'Disponible', 'precio': '15.892,00'}]"
Palmolive® Naturals Humectación Refrescante Sandía y Lychee,,/content/dam/cp-sites/personal-care/palmolive-latam/redesign-2020/andina/pdp/sandia-y-lychee/productshot-sanda-front-2024.jpg,https://www.palmolive.co/productos/jabones-liquidos-corporales/sandia-y-lychee,"['Palmolive Naturals', 'Sandía y Lychee', 'Jabón líquido corporal']",Palmolive ® Naturals Humectación Refrescante Sandía y Lychee Jabón líquido corporal 390mL,Siéntete humectada en cada gota con su delicada sensación cremosa gracias a su fórmula nutritiva infusionada con ingredientes de origen natural. Descubre el secreto de una humectación irresistible con el nuevo jabón líquido para el cuerpo de Palmolive ® Naturals. Deja que su fórmula y delicioso aroma consientan tu piel todos los días. Fabricado responsablemente** *El producto mantiene la humectación natural de la piel. **Para saber más visita https://www.colgatepalmolive.com/responsibly-made . Beneficios - Piel fresca y humectada* - Fórmula Nutritiva - Con ingredientes de origen natural - Con extractos naturales de sandía y lychee - Fabricado responsablemente**,"['- Piel fresca y humectada*- Fórmula Nutritiva- Con ingredientes de origen natural- Con extractos naturales de sandía y lychee- Fabricado responsablemente**', 'Sandía', 'Lychee']","Palmolive®Naturals Humectación Refrescante, formulado con extractos de sandía y lychee de origen natural, brinda una sensación humectante y refrescante a tu piel. Deja que su deliciosa humectación, frescura y fragancia te consientan todos los días.","Siente la naturaleza en tu piel con la exótica fragancia de Palmolive®Naturals Humectación Refrescante fusionada con la dulce y jugosa sandía, para brindarte una sensación inigualable de humectación y frescura, y la nota natural de lychee, que te transporta a la naturaleza refrescante.","Aplica jabón líquido en manos o esponja, enjabona cuerpo y rostro, disfrutando de la espuma cremosa y una deliciosa fragancia. Enjuaga enseguida y si deseas, repite el proceso.",7509546676111,"[{'tienda': 'JumboCO', 'disponibilidad': 'Disponible', 'precio': '15.442,00'}, {'tienda': 'OlimpicaCO', 'disponibilidad': 'Disponible', 'precio': '21.410,00'}, {'tienda': 'ExitoCO', 'disponibilidad': 'Disponible', 'precio': '12.540.00'}, {'tienda': 'FarmatodoCO', 'disponibilidad': 'Agotado', 'precio': 'N/A'}, {'tienda': 'LaRebajaVirtualCO', 'disponibilidad': 'Disponible', 'precio': '14.490,00'}]"
Palmolive® Naturals Humectación Refrescante Sandía y Lychee,,/content/dam/cp-sites/personal-care/palmolive-latam/redesign-2020/andina/pdp/sandia-y-lychee/productshot-sanda-barra-front-2024.jpg,https://www.palmolive.co/productos/jabones-en-barra/sandia-y-lychee,"['Jabón en barra', 'Sandía y Lychee', 'Palmolive Naturals', 'Humectación']",Palmolive ® Naturals Humectación Refrescante Sandía y Lychee Jabón en barra,"Transfórmate con Palmolive ® Naturals y siente la naturaleza en tu piel. Disfruta la humectación natural y los ingredientes inspirados en la naturaleza para revitalizar tu cuerpo y tus sentidos. Conecta con la naturaleza todos los días con el nuevo Palmolive ® Naturals Humectación Refrescante Sandía y Lychee, que gracias a su fórmula con humectante natural y fabricada responsablemente*, te brinda una piel fresca y humectada. Disfruta de su fragancia y fórmula con ingredientes 100% de origen natural y un cuidado para tu piel inspirado en la naturaleza. *Para saber más visita https://www.colgatepalmolive.com/responsibly-made . Beneficios -Fabricado responsablemente*. -Con humectante natural. -Fragancia con ingredientes 100% de origen natural. -Luce una piel fresca y humectada.","['-Fabricado responsablemente*.-Con humectante natural.-Fragancia con ingredientes 100% de origen natural.-Luce una piel fresca y humectada.', 'Sandía', 'Lychee']","Palmolive®Naturals Humectación Refrescante, formulado con extractos de sandía y lychee de origen 100% natural, brinda una sensación humectante y refrescante a tu piel. Deja que su deliciosa humectación, frescura y fragancia te consientan todos los días.","Siente la naturaleza en tu piel con la exótica fragancia de Palmolive® Naturals Humectación Refrescante fusionada con la dulce y jugosa sandía, para brindarte una sensación inigualable de humectación y frescura, y la nota natural de lychee, que te transporta a la naturaleza refrescante.",Enjabona y enjuaga.,"61021558,61021559","[{'tienda': 'LaRebajaVirtualCO', 'disponibilidad': 'Disponible', 'precio': '8.470,00'}, {'tienda': 'FarmatodoCO', 'disponibilidad': 'Disponible', 'precio': '9.040,00'}, {'tienda': 'OlimpicaCO', 'disponibilidad': 'Disponible', 'precio': '8.990,00'}, {'tienda': 'ExitoCO', 'disponibilidad': 'Disponible', 'precio': '9.300.00'}, {'tienda': 'JumboCO', 'disponibilidad': 'Disponible', 'precio': '9.390,00'}]"
Jabón en barra Nutrición Renovadora Banana y Aguacate,,/content/dam/cp-sites/personal-care/palmolive-latam/redesign-2020/pdp/platano-y-aguacate/palmolive-banana-y-aguacate.jpg,https://www.palmolive.co/productos/jabones-en-barra/banana-y-aguacate,"['Palmolive Naturals', 'Renovación', 'Jabón en barra']",Jabón en barra Nutrición Renovadora Banana y Aguacate,"Siente la naturaleza en tu piel con Palmolive ® Naturals, elaborado con extractos de Banana y Aguacate 100% natural que te permitirá lucir una piel suave,luminosa, humectada y nutrida. Descubre la Nutrición Renovadora de Palmolive ® Naturals, jabón de tocador con vitamina E y glicerina, infusionado con ingredientes 100% de origen natural con su fórmula nutritiva que funciona como alimento para tu piel, para cuidar y nutrir la piel de toda tu familia. Fabricado Responsablemente**. *Para saber más visita https://www.colgatepalmolive.com/responsibly-made .",[],,,,MX05818A,[]
